Center,Model,ssp585_Variant,Grid,ssp585_Version,historical_Variant,historical_Version,piControl_Variant,piControl_Version
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191108,r1i1p1f1,v20191112
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115,r1i1p1f1,v20191115,r1i1p1f1,v20191214
AWI,AWI-CM-1-1-MR,r1i1p1f1,gn,v20181218,r1i1p1f1,v20181218,r1i1p1f1,v20181218
BCC,BCC-CSM2-MR,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429,r1i1p1f1,v20181015
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708,r1i1p1f1,v20190708,r1i1p1f1,v20190729
NCAR,CESM2,r1i1p1f1,gr,v20190730,r1i1p1f1,v20190308,r1i1p1f1,v20190320
NCAR,CESM2-WACCM,r1i1p1f1,gr,v20190815,r1i1p1f1,v20190808,r1i1p1f1,v20190320
THU,CIESM,r1i1p1f1,gn,v20200220,r1i1p1f1,v20200220,r1i1p1f1,v20200220
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,v20200622,r1i1p1f1,v20200616,r1i1p1f1,v20200616
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,gn,v20190219,r1i1p1f2,v20180917,r1i1p1f2,v20180814
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,v20191202,r1i1p1f2,v20191021,r1i1p1f2,v20191021
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,v20191021,r1i1p1f2,v20181206,r1i1p1f2,v20181115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429,r1i1p1f1,v20190429
CCCma,CanESM5-CanOE,r1i1p2f1,gn,v20190429,r1i1p2f1,v20190429,r1i1p2f1,v20190429
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310,r1i1p1f1,v20200310,r1i1p1f1,v20200312
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225,r1i1p1f1,v20200225,r1i1p1f1,v20200226
CAS,FGOALS-g3,r1i1p1f1,gn,v20191229,r1i1p1f1,v20191106,r1i1p1f1,v20191125
NASA-GISS,GISS-E2-1-G,r1i1p1f2,gn,v20200115,r1i1p1f2,v20190903,r1i1p1f1,v20180824
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,v20200114,r1i1p1f3,v20190624,r1i1p1f1,v20190628
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,v20200515,r1i1p1f3,v20191207,r1i1p1f1,v20191204
INM,INM-CM4-8,r1i1p1f1,gr1,v20190603,r1i1p1f1,v20190530,r1i1p1f1,v20190605
INM,INM-CM5-0,r1i1p1f1,gr1,v20190724,r1i1p1f1,v20190610,r1i1p1f1,v20190619
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20190903,r1i1p1f1,v20180803,r1i1p1f1,v20200326
MIROC,MIROC-ES2L,r1i1p1f2,gr1,v20200731,r1i1p1f2,v20200731,r1i1p1f2,v20200731
MIROC,MIROC6,r1i1p1f1,gn,v20190627,r1i1p1f1,v20181212,r1i1p1f1,v20181212
DKRZ,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710,r1i1p1f1,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710,r1i1p1f1,v20190710
MRI,MRI-ESM2-0,r1i1p1f1,gr,v20200120,r1i1p1f1,v20191205,r1i1p1f1,v20191224
NUIST,NESM3,r1i1p1f1,gn,v20190731,r1i1p1f1,v20190703,r1i1p1f1,v20190704
NCC,NorESM2-LM,r1i1p1f1,gn,v20191108,r1i1p1f1,v20190815,r1i1p1f1,v20190920
NCC,NorESM2-MM,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191108,r1i1p1f1,v20191108
MOHC,UKESM1-0-LL,r1i1p1f2,gn,v20190726,r1i1p1f2,v20190627,r1i1p1f2,v20190827
